CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12
0.18763269,0.073474377,-0.417977837,0.716182549,-0.168950946,0.462401152,-0.737125581,0.112346269,-1.361472752,0.054736012,-0.124368574,0.214557539
-0.65106393,0.191740744,-0.183519183,0.838334169,-0.201079285,0.503014754,-0.70181027,-0.739231354,-0.448654793,-0.067678675,0.148779108,0.133707508
0.059599254,-0.214978094,-0.406278715,0.826223334,-0.557181019,-0.756741881,-0.456310795,0.289205839,-0.087877871,0.062458669,-0.108951881,-0.009328107
-0.101203883,-0.617782528,-0.539948512,1.2718448,-0.168349925,-0.233293352,0.290175165,-0.198391114,0.84641848,-0.000244965,-0.080513735,0.220269547
0.530068337,-0.421811493,-0.234235105,0.378400192,-0.612963708,0.270233568,-0.725308319,-0.557263695,0.885209743,-0.119113482,0.101277415,-0.189273305
0.107646186,-1.224011652,0.294726826,1.138128361,-0.203387654,0.743679169,-0.010045947,0.455658959,0.877433844,0.237105388,0.067609272,0.444945457
-0.106612028,-0.203458964,-1.10728422,0.307129746,-0.508914324,0.549487714,0.297318258,0.46888865,-0.20666115,0.832911574,0.108345875,-0.296607543
-0.370302779,-0.613942406,0.526923002,0.812326459,-0.375308301,0.347177515,-0.738988199,0.29946499,0.131879315,0.208573584,-0.293614507,0.347777774
0.130118838,-1.212852699,-0.033048262,0.846128765,-0.845414096,0.547406333,0.467139173,0.635065855,0.451975708,0.404242181,0.7482064,0.359010091
0.059655156,-0.826137031,0.449178584,1.1829687,0.128277479,-0.488100354,-0.609297484,0.476144559,0.945352533,0.195602169,0.054879591,0.491678795
-0.422160978,0.068152268,-0.236163848,1.270409664,0.130930405,0.69041152,-0.864072621,-0.198716282,-0.201679252,0.194901608,0.164321814,0.121188863
-0.342381332,-0.097887274,-0.314531087,1.449539578,0.264752319,-0.312025133,-0.673739837,0.367770174,0.125210052,0.174419845,-0.907865768,0.319706651
0.922235339,-0.162575056,-0.370074238,-0.290071712,-1.130899614,-0.021881731,-0.475035481,-0.494587993,-0.191187006,-0.150021982,0.069087903,-0.129552818
-0.013077312,0.047820852,-0.978764812,0.189999657,-0.305042498,0.3259975,-0.643389403,0.687139881,-0.340717286,0.799546271,-0.128109065,-0.301570165
0.408761166,0.404469807,-0.741267313,0.988010694,-0.140886312,-0.745071818,-0.240051073,0.797075866,-0.340515243,0.522649038,-0.088532747,-1.223310434
-0.6165032,-0.081623466,-0.481488885,1.280750858,0.202669311,-0.19100228,0.885938135,-0.853893371,-0.429858445,-0.037024585,0.043872558,0.076758289
0.066550535,-0.160657454,-0.370132732,0.229733349,-1.018807284,0.071890465,-0.614521329,-0.084614274,-0.550895735,-0.104523713,-0.355275386,-0.069865841
0.200649801,-0.182785976,-0.141951676,0.211762963,-0.571163344,0.293385347,-0.688719047,-0.728233619,0.274147419,-0.321831834,-0.631707354,0.13026767
-0.062875729,-0.912215582,0.379108188,1.171615081,0.027740646,-0.537270233,-0.612739354,0.402318356,1.121887219,0.161582916,0.248631902,0.391521231
-0.097438118,-0.818088828,0.512973431,0.595828989,-0.466731543,0.290413264,-0.758247393,0.028248881,0.665379072,0.011255114,0.029887915,0.540559086
-0.318173138,-0.176584657,-0.23978667,0.780527162,-0.300016102,-0.496494116,-0.524476097,-0.460860656,0.4344338,-0.250752789,-0.332655303,0.612172592
0.557329288,-0.528134828,0.472386875,0.408809027,-0.268147801,0.288307066,-0.627407504,0.194141027,-0.860059488,0.09536628,0.421065706,0.071706238
-0.061127339,-1.274502289,0.024726027,0.830957212,0.589098203,-0.028358615,0.212054793,0.723390795,1.100214384,0.295888407,0.045486248,0.730636982
-0.162972057,-0.894792203,0.11308212,1.187907984,-0.336685248,0.648457863,0.129170886,0.53680477,-0.28186316,0.387003253,1.148023533,0.064741271
-0.221783454,-0.029086054,-0.0609569,0.72406962,0.000843111,0.572249417,-0.806511668,-0.705203427,-0.182970841,-0.353167259,0.028465061,0.696358633
0.875345763,-0.823080139,-0.544231635,0.363854373,-0.826878784,0.354974389,-0.044453774,0.049199834,0.252386655,-0.180142322,0.168436298,-0.02355155
0.051806691,-0.762645843,0.671456247,1.071452731,0.529411763,-0.276615407,-0.641376842,-0.052784881,0.190163248,-0.295546675,0.386734753,0.907311897
-0.573611746,0.067632729,-0.175096891,1.154405059,0.234210121,-0.410698132,-0.514688835,-0.605310083,-0.313478664,-0.22993333,0.028468482,0.306531457
-0.116247516,-0.859034202,0.488701231,0.819044513,-0.180081255,-0.526258242,-0.548067305,0.069660602,0.723580025,-0.092807122,0.058274155,0.611406278
0.196495765,-0.669625406,-0.526786322,0.774607514,-0.632267206,0.681450131,0.491236414,-0.448338521,0.445902878,0.098247502,-0.070956252,-0.433438245
0.009112079,-1.181824196,0.125718468,1.06088115,-0.40637412,0.770806537,0.39632072,0.204812797,0.941260858,0.384837433,0.36810886,0.220775453
0.243931601,0.050273241,-0.569677857,0.875214598,-0.322043303,0.413186736,-0.714504908,0.212885891,-0.873984829,0.37238783,0.620321075,-0.203502266
-0.137854513,-0.227226849,-0.241885477,0.394231108,-0.056832281,-0.162057934,1.065254223,0.94045786,0.421186665,1.336675661,0.733341884,0.745285123
-0.696603862,-0.054623518,-0.31452147,0.704383431,-0.696641931,0.318383543,-0.705895469,-0.365754093,0.006281679,0.024346243,-0.409201344,0.09990623
0.162449993,-0.972056701,0.030220677,1.271479762,-0.169848702,0.889890589,0.411755931,0.586387268,0.248679518,0.763915787,-0.152046784,-0.157565379
-0.085962283,-1.087237745,0.347937145,0.705534468,-0.533200408,0.554953772,0.156652842,-0.087161015,0.633986158,-0.007595404,0.058529365,0.43973627
0.80585185,-0.580432212,-0.37011296,0.580793613,-0.270279953,0.801925732,0.456659511,-0.132833066,0.753940571,-0.306086612,-0.058572231,-0.621246473
0.130297708,-1.242451477,-0.002615748,0.895790205,-0.763888726,0.579884531,0.430729743,0.712853542,0.462185456,0.371294122,0.65001127,0.470535724
-0.179115843,-0.738671118,0.350853021,0.621245136,-0.808159729,0.116505416,-0.692196573,0.768499826,-0.320354453,0.206980814,0.118407688,0.454270036
-0.237793415,0.03466028,0.518739759,0.990132856,-0.444827869,0.447854296,-0.5299884,0.461579221,0.725419195,0.69788659,0.275842364,0.061112606
0.694003244,-0.299141308,-0.274943048,0.24293021,-0.419074459,0.342141718,-0.725764237,-0.565932944,0.171644334,-0.17464138,-0.778323856,-0.067479109
-0.123367022,0.137368733,-0.994519342,0.477124265,0.539913703,1.085625995,0.605463378,-0.414437275,-0.162604017,1.250339616,0.373097337,0.02515325
0.011412004,-0.81058717,0.600212611,0.901701645,0.071035907,-0.569997591,-0.559799017,0.230162327,0.615585709,-0.144856648,-0.295491843,0.832256239
0.028848683,-0.631219406,0.084910549,0.24937962,0.145119497,0.389496571,-0.723847459,0.572147434,0.242675886,0.444223669,1.293738529,0.498786715
0.425609837,-0.053853281,-0.491382943,1.443674673,0.661059196,-0.391698991,-0.571825339,0.587766979,-0.223497612,0.412661437,-1.284187931,-0.149936751
-0.060164086,-1.156514949,0.252669839,1.325685014,0.035462917,-0.230167503,0.277846506,0.335097311,1.072821514,0.150618773,0.151456584,0.433215401
0.07575806,0.166666738,-0.729328825,-0.319442433,-0.414680726,-0.884547418,-0.150617351,-0.138111881,-0.408450779,0.263156934,-0.210156016,-0.290305247
-0.210196754,-0.587684007,-0.415351348,0.702080836,-0.666114096,0.591866039,0.124885257,-0.552576872,0.400914708,-0.210761464,-0.298192009,0.403500699
-0.02381603,-0.25978841,-0.243849124,0.827161223,-0.039179132,-0.460561047,-0.590831106,-0.095522039,-0.548519189,-0.510652442,0.395789058,1.00110384
0.340095645,-0.445878292,-0.739168033,0.29941604,-1.169772908,0.423787479,0.680964605,-0.29302471,-0.628604289,0.161099569,-0.17161179,-0.343108566
-0.139625957,0.58084619,-0.7424517,0.508898937,0.896180394,-0.261681526,-0.315827735,-0.347599064,-0.036792475,1.141223512,0.334693763,0.027911398
-0.265924531,-0.512011061,0.487523654,1.018615427,0.095425418,0.988700722,0.660531976,-0.261630665,-0.424818558,0.889604501,0.360745257,-0.591198425
-0.084217626,-1.128638102,0.321252641,0.946837248,-0.227484455,-0.277115968,0.371138774,-0.04234199,0.697250356,-0.106326721,0.100250562,0.537126022
-0.165835641,-0.618259766,-0.420063297,0.711433881,-0.659109232,0.584062402,0.118947563,-0.532766431,0.423634332,-0.218118842,-0.273350637,0.373167039
-0.293329882,-0.257618602,-0.267318178,0.527512933,-0.681971719,0.28788359,-0.744155774,-0.522462796,0.417427525,-0.185193425,-0.230360864,0.400072172
0.928683973,-0.263911402,-0.350522263,0.522892387,-0.197493169,-0.636678574,-0.405234816,-0.541663779,0.767949709,0.006126757,-0.06859622,-0.445523976
-0.23444762,-0.178145302,-0.333212404,0.785338704,-0.271016847,-0.807534124,-0.354692067,-0.557040002,0.500093682,-0.169093255,-0.301253465,0.258695628
-0.402519096,-0.455093725,-0.532433653,0.744665357,-0.933944423,0.465583353,0.174929236,0.225645718,-0.624264179,-0.047906612,-0.359064362,0.469319158
-0.161204975,-0.77584358,0.478714485,0.542128932,-0.550182047,0.273251788,-0.72617822,-0.053749394,0.647867396,0.036163629,0.105558576,0.480374203
0.328416115,0.074908883,-0.386670534,1.038581858,0.440678898,-0.533853379,-0.431662968,0.167442682,-0.602625953,0.135345082,-1.46146833,-0.048072715
0.187063253,-0.790111662,-0.096670498,0.971285705,1.118254557,0.315139982,0.648021252,0.525620645,-0.158048554,0.642264391,0.334520873,0.123141961
-0.06172184,-0.630077713,-0.485106948,1.272367776,-0.104954124,0.028658343,0.587758258,-0.115798401,0.321886865,0.054196694,-0.538637824,0.048088347
-0.365612505,-1.047840421,0.187381867,0.947505714,-0.55976149,0.662802969,0.494948487,0.07313517,0.233147203,0.270304107,-0.020848182,0.138712963
-0.55937228,-0.37538069,-0.548216427,1.52334879,-0.146712119,-0.168199484,0.312318446,0.019868115,0.337793421,0.198352517,-0.244703669,0.165788563
1.020616618,-0.359711324,-0.40688343,-0.234066153,-1.123279114,-0.038224996,-0.52926831,-0.417679675,-0.115954878,-0.20274669,0.130763255,-0.145644415
0.170994056,-0.675934519,0.288726597,1.154355772,-0.085645456,0.515786145,-0.834887423,0.750399156,0.343388904,0.709592141,-0.204455623,-0.082704447
-0.515220245,-0.033371203,-0.422336964,1.273991827,-0.204787484,-0.52094026,-0.51439698,-0.044254503,0.431003699,0.293485722,-0.188167154,-0.120133665
0.11742033,-0.069897944,-0.660801068,1.07143639,-0.448571963,-0.516448533,-0.510355619,0.627889646,-0.37826136,0.500804767,-0.096569833,-0.048396717
-0.362648224,-0.705151516,-0.593785882,1.424213497,-0.287950006,0.918864015,0.260032665,0.218836996,0.243231988,0.264831295,-0.479060832,0.262455787
0.0558663,-0.756181316,0.417479087,0.498407045,-0.483116744,0.215922484,-0.703622273,0.086277235,-0.220034786,-0.131472972,1.109415043,0.612091455
0.219867542,0.58848614,-0.041409011,0.615906815,-0.321818642,-0.536545474,-0.198732148,-0.566533347,0.941228331,0.062938302,-0.108658587,0.134994981
1.021897302,-0.381846437,-0.430455441,-0.017350295,-0.838707057,-0.833486471,-0.315994112,-0.385094516,-0.060447797,-0.289731812,0.146507483,-0.091556794
0.984391593,-0.684621191,-0.654832927,0.16522289,-0.825200331,-0.458395673,0.905257751,-0.480167535,-0.159269828,-0.263090763,0.106047812,0.011057734
-0.357367327,-0.164216991,-0.647028865,0.464165991,0.219671032,-0.50155939,-0.499508796,-0.062851128,0.970428188,0.249306369,-0.000434766,0.244691903
-0.038024204,-0.332534316,-0.394138991,0.719947649,-0.444829006,-0.912329729,-0.410253698,0.163847523,-0.083629518,-0.256941058,-0.289878709,0.802341672
0.17737975,-1.151921266,0.246738687,0.795461693,-0.489204138,-0.407290176,0.381245055,0.56846923,0.072540459,-0.104953448,0.190132705,0.857083025
